[0] 0:00	a [Music]
[1670] 3:15:01	um so anyway thank you very much for the Super Chat very much
[1671] 3:15:11	appreciated dark blade I just realized the name Works in Hebrew I mean something like son of Horus it is son of
[1672] 3:15:20	Horus yes that's exactly what it means her
[1673] 3:15:25	is um is a reference to I think it's one of the Levites in in the penet and it is
[1674] 3:15:32	comes from the name Horus so yes it's an Egyptian
[1675] 3:15:38	name nice all right uh Star Wars nerd for 499
[1676] 3:15:44	asks the question and thank you for the Super Chat how do we deal with often violent and troubling past of those
[1677] 3:15:50	claims to be Christian in the past it is often seen as a stain on
[1678] 3:15:56	Christianity yeah you know what there's a lot of people out there who funny
[1679] 3:16:01	enough don't don't behave like the book
[1680] 3:16:07	says but here's how we deal with this okay just because there's a lot of
[1681] 3:16:14	people out there who don't act according to the book doesn't mean that there isn't a
[1682] 3:16:22	proper way to act like for example I mean there's
[1683] 3:16:27	there's going to be guys out there who do a lot of atrocities in the name of
[1684] 3:16:32	Christianity but when they do those atrocities they're doing it in defiance of what the religion
[1685] 3:16:40	teaches see it's here's one of the things I think is really kind of um you know sort of terrifying about
[1686] 3:16:48	how modern culture sort of looks at this which is they see PE
[1687] 3:16:55	Christians do atrocities and they say oh you see Christianity is to blame for all these bad
[1688] 3:17:00	acts well then you got to ask the question did Christianity teach them these bad Acts or was this something
[1689] 3:17:07	they picked up elsewhere something from their culture was it something like you
[1690] 3:17:14	know uh you you know it the Bible tells us you know love our neighbor love our
[1691] 3:17:21	enemy okay so when we when you know you know
[1692] 3:17:27	you'll get you'll get say Christians who basically are unrepentant
[1693] 3:17:35	adulterers are they Christians well hard to say I mean they're not following the
[1694] 3:17:40	faith you know they're not following the faith in the slightest so are are they really
[1695] 3:17:48	behaving according to the book is that a stain on Christianity or is that I mean you get
[1696] 3:17:55	people who will claim all sorts of things I mean I remember this guy we would my wife and I used to um run a
[1697] 3:18:02	jewelry business we we had a casting shop and there was this guy who asked
[1698] 3:18:10	asked us to do a custom job uh he wanted a big garish ring with
[1699] 3:18:17	a cross on it so everyone would know he's a
[1700] 3:18:23	Christian and this guy was went to local bars got
[1701] 3:18:30	drunk was hooting and hollering in the street cussing a storm and it's like dude don't want your
[1702] 3:18:38	money do not want your money I'm not going to enable you to pretend to be
[1703] 3:18:43	something you're not oh he got angry oh he got really angry I mean the
[1704] 3:18:52	guy was sleeping with another man's wife I mean we seriously needed the money yeah we seriously need the money
[1705] 3:19:00	but we refused to do the job yeah he was shocked that we would turn down his
[1706] 3:19:05	money it's like yeah no I'm not going to help you this you know dude you know
[1707] 3:19:10	you're you're pretending to be something you're not and I'm not going to facilitate you get someone else to do it for
[1708] 3:19:15	you yeah I won't do it so
[1709] 3:19:31	um Sarah keplin you had a jewelry business as well David folk lore is
[1710] 3:19:37	insane laugh out loud yeah we even won won awards we won an award for um at um
[1711] 3:19:46	world comp for one of our pieces um in fact our piece was used on
[1712] 3:19:52	a novel cover yeah you can go get that we'll show
[1713] 3:19:58	this blank out the screen here yeah um we
[1714] 3:20:05	um uh we displayed a we had a I created a crystal
[1715] 3:20:11	dagger um with a 12in quartz crystal Blade the hilt 13 in of of sterling
[1716] 3:20:19	silver bloodwood handle and it was sort of our signature piece we showed it at uh a the San Jose
[1717] 3:20:28	World con and it won the award for the viewer um viewer's Choice
[1718] 3:20:35	Award so um it actually won later
[1719] 3:20:40	on pull it back up here now um it was uh um Harper
[1720] 3:20:49	Collins Collins yeah Harper Collins contacted me
[1721] 3:20:54	and asked to use our picture of it on the cover of their of a novel called
[1722] 3:20:59	Crystal blade so that's a piece that we made as a uh when we were still doing uh
[1723] 3:21:06	had a jewelry business and and casting shop okay uh obsidian um specular obsidian in
[1724] 3:21:15	the center piece there uh six Crystal points um 12in uh coarse Crystal blade
[1725] 3:21:23	and bloodwood handle with silver inl
[1726] 3:21:29	so so yeah we had a jewelry business Once Upon a Time uh when we lived in
[1727] 3:21:35	Nevada and it was very very interesting
[1728] 3:21:40	experience but we also had to make ethical choices too and one of those ethical choices was you know how do we
[1729] 3:21:48	do we enable this this guy who is pretending to be a Christian
[1730] 3:21:53	to to to do it and it's like no we're not going to enable it
[1731] 3:22:01	so
[1732] 3:22:10	um all right so anyway uh hope that helps thank you very much for the uh
[1733] 3:22:15	Super Chat very much appreciated but again this is not going to this is not um any people who who behave this way
[1734] 3:22:21	they're doing it in defiance of of the religion not in accordance with the religion if it was in accordance with
[1735] 3:22:29	the religion yeah okay you could have a legitimate thing there but it isn't so
[1736] 3:22:34	with that said that's how we deal with it you have to ask the question is this in accordance with the law of love
[1737] 3:22:41	that's what Christianity creates is love your neighbor love your enemy turn the
[1738] 3:22:47	other cheek if you're not doing that you're living in defiance of of what
[1739] 3:22:54	Christ wants the ideals the highest ideals of the Christian
[1740] 3:23:00	faith okay next Super Chat here is from Andreas
[1741] 3:23:06	Forester uh for 699 Canadian thank you for the Super Chat Martin scors silence
[1742] 3:23:14	um is genius and one of my favorite films of all time though as a Catholic
[1743] 3:23:19	I'm pretty biased laugh out loud the book's better um the book is actually better
[1744] 3:23:26	and the book and I've read the book um the book is
[1745] 3:23:32	by see here look me just look up the author here uh I think it's
[1746] 3:23:39	Endo um let's see here where was it silence uh shusaku endo
[1747] 3:23:48	um the translation was done by William Johnston it's a Japanese novel it's a
[1748] 3:23:55	novel originally written in Japanese um Endo is a great author he's he's
[1749] 3:24:00	absolutely a fantastic author um and the translation's very
[1750] 3:24:06	good so I would say this this the the book is even better than the film the film is good the film's good but the
[1751] 3:24:12	book's better so I would highly recommend reading the
[1752] 3:24:21	book but yeah that's an example and it asks um Endo in his book
[1753] 3:24:27	silence asks a really really difficult question is it better to is it better to
[1754] 3:24:36	Martyr yourself in the face of overwhelming
[1755] 3:24:42	um um persecution or is it better to
[1756] 3:24:50	hide that's a tough one and Endo doesn't give you an answer but the
[1757] 3:24:56	church they said uh don't throw yourself in the martyrdom
[1758] 3:25:01	thinking all your sins are going to be covered if you're not CAU yeah yeah
[1759] 3:25:07	because then you had people being martyred yeah didn't have God's grace and were not good
[1760] 3:25:14	witness yeah they the thing is that Endo does not give you an answer
[1761] 3:25:19	here he leaves it an open question and that's what's so interesting about
[1762] 3:25:26	silence is he doesn't say that martyr the Martyr is the preferred choice or
[1763] 3:25:31	silence and hiddenness is the good right choice he says they're both bad
[1764] 3:25:37	options they're both bad options neither one is is
[1765] 3:25:42	ideal yes marm you'll get killed and you'll have have represented the
[1766] 3:25:48	faith but you won't be there to teach either
[1767] 3:25:55	silence and potential cosmetic apostasy is also not
[1768] 3:26:02	good so that's that's one of the things that I think is really really interesting about endo's novel and
[1769] 3:26:09	frankly he picked a really good subject matter for this which was the brutality
[1770] 3:26:15	of of postchristian
[1771] 3:26:26	Japan where does he say that oh okay yeah W toomb says I didn't understand
[1772] 3:26:31	the message of the movie it's it's clear in the book yeah the book is actually
[1773] 3:26:37	clear here because the book is going to you know it does go that through that
[1774] 3:26:43	cold Chronicle of of what happens from the jesuit's arrival to the
[1775] 3:26:50	Crackdown of of Christianity and it's eventual
[1776] 3:26:56	outlawing and it was brutal the Japanese were absolutely brutal as far as how
[1777] 3:27:02	they persecuted people
[1778] 3:27:11	again MH well uh woman to the tomb apologetic
[1779] 3:27:17	says it seemed disrespectful to me like he chose apostasy at the end he did
[1780] 3:27:23	choose apostasy but he was also the book
[1781] 3:27:30	implies that he was also teaching to not
[1782] 3:27:36	publicly privately okay he did give in he did
[1783] 3:27:42	give in and he his job His official job was
[1784] 3:27:49	to Stamp Out Christians so his apostasy would sell
