[0] 0:47	Heat. Heat. N.
[2783] 2:25:20	there was actually a lot of people who
[2784] 2:25:22	came into to Avaris. It was the uh
[2785] 2:25:25	capital city of the Hixos, the 15th
[2786] 2:25:27	dynasty of Egypt. And uh the Hixos were
[2787] 2:25:31	Amoritic. They're Amoritic Semites.
[2788] 2:25:34	And the Israelites themselves are
[2789] 2:25:36	Amoritic.
[2790] 2:25:38	So the Israelites found a a home away
[2791] 2:25:41	from home as it were at Avarus.
[2792] 2:25:45	So I think Alvarus was the town of the
[2793] 2:25:48	Israelites.
[2794] 2:25:49	Okay.
[2795] 2:25:51	So so that I think is is is the same
[2796] 2:25:55	now. But the Hibiru some are Israelite,
[2797] 2:25:58	some are not because it's you're not
[2798] 2:26:00	talking about an ethnicity with Habibu.
[2799] 2:26:02	You're talking social class with Hibu.
[2800] 2:26:04	Israelite you're talking ethnicity.
[2801] 2:26:07	And that eth ethnicity forms at the
[2802] 2:26:09	Exodus. It's when the sons of Jacob
[2803] 2:26:13	leave Egypt and they integrate with the
[2804] 2:26:16	mixed multitude. That's where Israel
[2805] 2:26:18	forms.
[2806] 2:26:19	So, I hope that explains some of this. I
[2807] 2:26:23	hope that uh you come back again and ask
[2808] 2:26:26	more questions. We love having new
[2809] 2:26:28	people on the channel here. So, we hope
[2810] 2:26:31	this helps. Thank you very much for the
[2811] 2:26:33	question. We really really appreciate
[2812] 2:26:34	it. And thank you to PA8884
[2813] 2:26:37	for sponsoring the question.
[2814] 2:26:42	>> 847. Okay.
[2815] 2:26:51	Okay.
[2816] 2:26:54	8:47
[2817] 2:27:11	uh from Andrew Meisner uh asks a
[2818] 2:27:14	question here. How do you determine the
[2819] 2:27:15	genre of a biblical text? Okay, first of
[2820] 2:27:18	all, you have to sort of know what
[2821] 2:27:22	genres are out there. Okay, so if you
[2822] 2:27:25	don't understand any of the genres that
[2823] 2:27:26	are out there, it's kind of difficult
[2824] 2:27:28	for you to figure this out. So you have
[2825] 2:27:31	to in some respects have read widely to
[2826] 2:27:33	begin with. Okay. Now you get genres
[2827] 2:27:36	like historical genre, military genre,
[2828] 2:27:40	you get poetic uh genre, prophetic
[2829] 2:27:43	genre, apocalyptic genre, uh temple
[2830] 2:27:47	dedication, excretion genre. There's a
[2831] 2:27:49	lot of genres out there. Okay. Uh
[2832] 2:27:52	personal biography is a genre. Um so
[2833] 2:27:57	what you have to do is you have to
[2834] 2:27:59	expose yourself to a large variety of
[2835] 2:28:01	literature in a v in a big number of
[2836] 2:28:03	genres. Okay. So then you've got then
[2837] 2:28:07	some exposure. Now there are shortcuts
[2838] 2:28:09	here. The shortcut here is to actually
[2839] 2:28:11	get a a a a
[2840] 2:28:14	reference text to the genres of the
[2841] 2:28:18	Bible. I mean and there are some here
[2842] 2:28:21	there are some texts out there like
[2843] 2:28:22	textbooks that talk about genres of the
[2844] 2:28:24	Bible. And if you if you're not from if
[2845] 2:28:27	you're not reading widely in the in the
[2846] 2:28:30	greater sort of um cultural context,
[2847] 2:28:32	that's a shortcut. you can use that and
[2848] 2:28:35	those those those textbooks will
[2849] 2:28:37	describe uh what those genres are. Now,
[2850] 2:28:40	I don't happen to know one of those
[2851] 2:28:41	textbooks off the top of my head because
[2852] 2:28:44	uh I did this the hard way by by reading
[2853] 2:28:47	widely in in in the in in the
[2854] 2:28:50	literature. Okay, but that's how you
[2855] 2:28:53	determine it is say okay then you start
[2856] 2:28:54	reading the biblical text and the
[2857] 2:28:57	biblical text will sort of
[2858] 2:29:00	as you read it reveal itself as to what
[2859] 2:29:03	kind of genre it is. Like for example,
[2860] 2:29:06	is it a is it a war genre? Is it doing a
[2861] 2:29:08	war chronicle? Does it have hyperbolic
[2862] 2:29:11	language like you find in war
[2863] 2:29:12	chronicles? Then that might be a war
[2864] 2:29:14	chronicle. Is it in poetry? Does it is
[2865] 2:29:17	it arranged in couplets? Do the couplets
[2866] 2:29:20	seem to magnify or
[2867] 2:29:23	you have interact with each other in in
[2868] 2:29:25	a certain way? Then you're dealing with
[2869] 2:29:27	poetic genre. And if it's poetic, you
[2870] 2:29:29	then go to the next step. Is it prophecy
[2871] 2:29:32	or apocalyptic? Because apocalyptic and
[2872] 2:29:35	prophecy tends to be done in poetry.
[2873] 2:29:38	So,
[2874] 2:29:40	so,
[2875] 2:29:41	um,
[2876] 2:29:43	so, um, yeah, there's there's a lot of
[2877] 2:29:46	ways that you can determine, uh, whether
[2878] 2:29:48	a what the genre is just by the clues
[2879] 2:29:50	the text gives you. So, that's how you
[2880] 2:29:53	kind of figure it out. Is there is it
[2881] 2:29:55	something that looks like it would have
[2882] 2:29:56	gone on a plaque somewhere?
[2883] 2:29:59	Well, if it's a something that went on a
[2884] 2:30:01	plaque somewhere, it might be a
[2885] 2:30:04	recording from that plaque, in which
[2886] 2:30:06	case it's a dedication inscription of
[2887] 2:30:08	some kind. Oh, we found find a couple of
[2888] 2:30:11	these in the um like first kings 6:1 is
[2889] 2:30:14	a dedic uh dedicatory
[2890] 2:30:18	inscription. Also, the narrative of the
[2891] 2:30:22	tunnel being cut through the Guihan to
[2892] 2:30:24	the Guhan spring that also was taken off
[2893] 2:30:28	of the plaque placed at the Guhan
[2894] 2:30:31	spring. Now, that plaque today sits in
[2895] 2:30:34	the British Museum. We have a copy of it
[2896] 2:30:36	and from that copy, we know that part of
[2897] 2:30:39	that narrative was taken from the
[2898] 2:30:42	dedication inscription.
[2899] 2:30:44	So, so there's a lot of ways to figure
[2900] 2:30:47	out how to determine the biblical genre
[2901] 2:30:49	of the text. You know, is it referring
[2902] 2:30:52	to a end time scenario? Well, then it's
[2903] 2:30:55	probably apocalyptic.
[2904] 2:30:58	Is it truthtelling
[2905] 2:31:00	uh uh in the moment? Maybe prophetic.
[2906] 2:31:03	Lots of ways to do this, but the best
[2907] 2:31:05	way is to actually read widely in the
[2908] 2:31:08	cultural context of other literature.
[2909] 2:31:10	And from that you can sort of figure out
[2910] 2:31:12	what genre of the text is being biblical
[2911] 2:31:15	text is being referred to. So hope that
[2912] 2:31:18	helps. Thank you very much for that
[2913] 2:31:19	question. Really appreciate it. Ah we
[2914] 2:31:22	got a uh super sticker here. Uh thank
[2915] 2:31:25	you mama for that super sticker for 149.
[2916] 2:31:28	We really appreciate your support of the
[2917] 2:31:30	channel. Thank you so very much. We so
[2918] 2:31:32	appreciate it.
[2919] 2:31:34	Uh she says a slice of my digital
[2920] 2:31:37	birthday cake. It's keto friendly.
[2921] 2:31:40	Well, I appreciate it since we're back
[2922] 2:31:42	on keto. So,
[2923] 2:31:47	got to get that blood sugar back down
[2924] 2:31:48	again.
[2925] 2:31:51	Okay.
[2926] 2:31:55	>> Oh, I'm still up there. Yeah.
[2927] 2:31:56	>> 856
[2928] 2:31:57	>> 856
[2929] 2:32:05	8
[2930] 2:32:07	Okay.
[2931] 2:32:09	Uh 856. Okay. Yeah. Harry Stark asks,
[2932] 2:32:12	"Did uh Tatulian become and remain
[2933] 2:32:16	excommunicated?"
[2934] 2:32:19	Uh yes. Yes, he did. And um he wasn't.
[2935] 2:32:26	Wow. The the excommunication of
[2936] 2:32:29	Tertullan is complicated. It's
[2937] 2:32:31	complicated.
[2938] 2:32:33	Um,
[2939] 2:32:37	Tertullian
[2940] 2:32:40	was actually excommunicated
[2941] 2:32:44	prior to him becoming a monist. Now
[2942] 2:32:46	you'll hear Catholics talk about the
[2943] 2:32:48	excommunication of Roman Catholics talk
[2944] 2:32:50	about the excommunication
[2945] 2:32:52	of Tertullian because Tertullian
[2946] 2:32:58	they will say like Roman Catholic
[2947] 2:32:59	historians will say that Tertullian was
[2948] 2:33:01	excommunicated because he became a he
[2949] 2:33:03	was a monist that's not the reason he
[2950] 2:33:06	was excommunicated.
[2951] 2:33:08	Okay, he was excommunicated because he
[2952] 2:33:11	was married.
[2953] 2:33:13	Okay.
[2954] 2:33:16	Tertullian believed that priests could
[2955] 2:33:18	marry.
[2956] 2:33:20	The priests in Rome didn't.
[2957] 2:33:24	That's the reason Tertullan was
[2958] 2:33:26	excommunicated
[2959] 2:33:29	was because he was married. That's the
[2960] 2:33:32	real reason.
[2961] 2:33:35	It's only after his excommunication
[2962] 2:33:39	that he became a monist.
[2963] 2:33:42	uh because he couldn't connect to the he
[2964] 2:33:45	was he was now severed
[2965] 2:33:48	from the Roman Catholic Church that had
[2966] 2:33:50	sort of authority over Carthage at the
[2967] 2:33:53	time. So it's at that point he throws in
[2968] 2:33:56	his lot with the Montinist but he wasn't
[2969] 2:33:59	really a full-blooded Montinist either.
[2970] 2:34:02	So
[2971] 2:34:06	>> state Yeah. It didn't it wasn't a really
[2972] 2:34:08	a heretical movement at the time when
[2973] 2:34:11	when Tertullian become one but it would
[2974] 2:34:12	eventually become one
[2975] 2:34:15	but he wasn't excommuted because he was
[2976] 2:34:16	a monarchist and I think that's one of
[2977] 2:34:18	those things that we have to be really
[2978] 2:34:19	careful of here is he was uh he was
[2979] 2:34:22	excommunicated because he believed that
[2980] 2:34:24	priests could marry
[2981] 2:34:26	>> that's was
[2982] 2:34:27	>> he was married
[2983] 2:34:28	>> he was married
[2984] 2:34:29	>> and he said God said
[2985] 2:34:34	>> when you're married God has joined you
[2986] 2:34:37	together.
[2987] 2:34:38	>> Yeah.
[2988] 2:34:38	>> Let no man
[2989] 2:34:39	>> Yeah. He he didn't believe in divorce.
[2990] 2:34:42	So,
[2991] 2:34:44	so uh you know he he was loyal to his
[2992] 2:34:48	wife. He was loyal to his wife to the
[2993] 2:34:50	end.
[2994] 2:34:52	Now they from what I understand they
[2995] 2:34:56	separated over the excommunication
[2996] 2:35:00	uh cuz she did not want to be
[2997] 2:35:01	excommunicated herself
[2998] 2:35:04	but he remained loyal to her.
[2999] 2:35:07	Um but but that's the reason why he was
[3000] 2:35:10	excommunicated. The real reason, not the
[3001] 2:35:13	phony reason you sometimes hear Catholic
[3002] 2:35:14	apologists say he wasn't excommunicated
[3003] 2:35:18	because he was was a monist. Although
[3004] 2:35:22	that became sort of later justification
[3005] 2:35:24	to go, "Oh, you see we're right. We were
[3006] 2:35:26	right to excommunicate because he became
[3007] 2:35:28	a monist.
[3008] 2:35:30	We saw it in him."
[3009] 2:35:34	Like like oh come on really
[3010] 2:35:37	>> really
[3011] 2:35:40	this Holy Spirit.
[3012] 2:35:42	>> Yeah
[3013] 2:35:43	>> is paramount over
[3014] 2:35:46	church tradition.
[3015] 2:35:48	>> Yeah.
[3016] 2:35:50	Yeah. He basically got ex he became a
[3017] 2:35:54	monist because they tried to get
[3018] 2:35:58	>> Yeah. Yeah. And clearly scripture didn't
[3019] 2:36:00	say divorce was
[3020] 2:36:02	>> Yeah. Um, Tertullian became a monotonist
[3021] 2:36:06	because he was forced into it by his
[3022] 2:36:09	excommunication.
[3023] 2:36:11	So,
[3024] 2:36:13	so yeah, it's just Yeah, but that but
[3025] 2:36:16	that's the reason Tertullian was
[3026] 2:36:17	excommunicated because he believed
[3027] 2:36:18	priests could marry and he was married
[3028] 2:36:20	himself. That's the real reason.
[3029] 2:36:24	So, I just I get really irked when I
[3030] 2:36:28	hear Catholic apologists say he was
[3031] 2:36:30	excommunicated for being a modernist.
[3032] 2:36:32	wasn't that wasn't the reason he became
[3033] 2:36:34	a monist. He was became a monist because
[3034] 2:36:37	he was excommunicated not excommunicated
[3035] 2:36:40	because he was a monist. He was
[3036] 2:36:42	excommunicated because he believed
[3037] 2:36:43	priests can marry.
[3038] 2:36:46	So you know that's
[3039] 2:36:48	>> but he wasn't somebody who was a priest
[3040] 2:36:51	who wanted to be. No,
[3041] 2:36:53	>> he was
[3042] 2:36:56	>> Yeah, he was married and a priest.
[3043] 2:37:00	So,
[3044] 2:37:03	so yeah, it's just it's a disingenuous
[3045] 2:37:05	thing. The whole the whole
[3046] 2:37:07	excommunication of Tertullian is a very
[3047] 2:37:09	very disingenuous thing.
[3048] 2:37:14	So,
[3049] 2:37:16	all right. Uh, next question.
[3050] 2:37:19	>> 8 810 and then we'll
[3051] 2:37:21	>> Okay. 810
[3052] 2:37:23	>> Louis asked
[3053] 2:37:26	that to your
[3054] 2:37:30	All right, let's see what 810 you said.
[3055] 2:37:33	I'll take the comment from uh Dark Blade
[3056] 2:37:35	here first and then I'll take that one,
[3057] 2:37:37	but I'll just scroll up to that.
[3058] 2:37:40	8 to 10 so I find it here.
[3059] 2:37:47	Okay, next one here. Uh I'll I'll just
[3060] 2:37:50	take this comment here from uh Dark
[3061] 2:37:51	Blade.
[3062] 2:37:53	driving him to Montinism and then
[3063] 2:37:55	blaming his excommunication on Montinism
[3064] 2:37:57	sounds to me like victim blaming. Yeah,
[3065] 2:38:00	it does, doesn't it? Yeah, it definitely
[3066] 2:38:02	sounds like
[3067] 2:38:04	>> Well, it it gets them
[3068] 2:38:08	>> uh Francis Do says
[3069] 2:38:11	died in communion with the church. That
[3070] 2:38:13	that excommunication was never lifted.
[3071] 2:38:16	That excommunication was never lifted.
[3072] 2:38:19	Um he only died in communion of the with
[3073] 2:38:22	the church because his local church
[3074] 2:38:24	accepted him. That's the reason okay
[3075] 2:38:29	of that communication was
[3076] 2:38:30	excommunication was never lifted. It was
[3077] 2:38:33	never recanted.
[3078] 2:38:35	But his local church liked him. It's his
[3079] 2:38:39	his local church appreciated his
[3080] 2:38:42	teaching and he was a brilliant teacher.
[3081] 2:38:45	Tatulian was an absolutely brilliant
[3082] 2:38:47	teacher.
[3083] 2:38:48	Um but you still get guys today
[3084] 2:38:50	basically saying that oh yeah Tertillian
[3085] 2:38:53	his excommunication was never li lifted
[3086] 2:38:55	he was he's outside the church we still
[3087] 2:38:57	get that today so so yeah so even though
[3088] 2:39:00	he died in communion with the church his
[3089] 2:39:03	local church
[3090] 2:39:05	local church his local church did that
[3091] 2:39:07	in defiance
[3092] 2:39:10	of the church in Rome uh of of the
[3093] 2:39:12	apostolic sea in Rome so yeah take that
[3094] 2:39:15	for what it
[3095] 2:39:19	Okay, next one.
[3096] 2:39:22	So that that 810 one from Harry
[3097] 2:39:25	Sandaval, right? Or sorry, Louis
[3098] 2:39:27	Sandaval,
[3099] 2:39:29	right? Louis Sandival asks, "Could a
[3100] 2:39:31	settler population who replaces the
[3101] 2:39:33	native population change the Cosmo
[3102] 2:39:35	Crater or prince of that comp uh
[3103] 2:39:37	country?" Possible. Can't say for sure,
[3104] 2:39:41	but it's possible. or the cosmic crater
[3105] 2:39:45	just switches to a new population.
[3106] 2:39:48	We're we're not sure how that works
[3107] 2:39:49	exactly, but either way is possible. So,
[3108] 2:39:52	I don't think there's anything that
[3109] 2:39:54	tells us exactly uh what what criteria
[3110] 2:39:58	um will will will change cosmic crater
[3111] 2:40:00	supremacy. So, can't say more than that.
[3112] 2:40:08	1043
[3113] 2:40:10	dark blade. So, it's like this Rome,
[3114] 2:40:13	this guy is outside of us now. His
[3115] 2:40:15	bishop, we don't care. Yeah.
[3116] 2:40:20	Yeah. Well, here's the thing. Uh,
[3117] 2:40:22	Tertullian was bishop. He was bishop at
[3118] 2:40:26	Carthage.
[3119] 2:40:28	And what happened was he gets ousted.
[3120] 2:40:31	The excommunication ousts him from from
[3121] 2:40:33	from uh his bishop Rick. Uh, well, who
[3122] 2:40:37	takes over? Cyprien.
[3123] 2:40:40	Cyprien,
[3124] 2:40:42	student of Tutulan,
[3125] 2:40:44	>> friend of Tutulian.
[3126] 2:40:49	So it's Cyprien who says we don't care.
[3127] 2:40:55	You know, Cyprien was uh was um Tulian's
[3128] 2:40:59	protege.
[3129] 2:41:01	He's Tulian's protege.
[3130] 2:41:04	So it's like, yeah, Rome says this guy's
[3131] 2:41:07	out. So Cyprian says we don't care
[3132] 2:41:11	but you know Cyprien still has to
[3133] 2:41:13	respect that that edict. So he's
